backend,device,time,size
taichi,cuda,0.00019140199947287329,16
taichi,cuda,0.00019454300127108581,16
taichi,cuda,0.000192632000107551,16
taichi,cuda,0.00020163299996056594,16
taichi,cuda,0.00018915200053015724,16
taichi,cuda,0.00019417300063651055,16
warp,cuda,0.0001961720008694101,16
warp,cuda,0.00017442200078221504,16
warp,cuda,0.0001715220005280571,16
warp,cuda,0.00016865200086613186,16
warp,cuda,0.00016807199972390663,16
warp,cuda,0.00016930200035858434,16
warp,cuda,0.00018017199909081683,16
warp,cuda,0.00016769300054875202,16
warp,cuda,0.0001687519998085918,16
torch,cuda,0.018971775998579687,16
torch,cuda,0.01884570499896654,16
torch,cuda,0.01886448500044935,16
torch,cuda,0.0188965149991418,16
torch,cuda,0.018953265998788993,16
torch,cuda,0.018958116001158487,16
torch,cuda,0.018958415999804856,16
torch,cuda,0.019019215998923755,16
torch,cuda,0.019303390999994008,16
jax,cuda,0.0004708759988716338,16
jax,cuda,0.0003867249997711042,16
jax,cuda,0.0003708540007210104,16
jax,cuda,0.00037729499854322057,16
jax,cuda,0.0003823349998128833,16
jax,cuda,0.0003637139998318162,16
jax,cuda,0.00037364499985415023,16
jax,cuda,0.0003721350003615953,16
jax,cuda,0.0003633540000009816,16
numba,cuda,0.0004210150000290014,64
numba,cuda,0.00048564600001554936,64
numba,cuda,0.0004078450001543388,64
numba,cuda,0.00039159500011010095,64
numba,cuda,0.00039390500023728237,64
numba,cuda,0.0004008649993920699,64
numba,cuda,0.0003800350004894426,64
numba,cuda,0.0003825650001090253,64
numba,cuda,0.00039438500061805826,64
taichi,cuda,0.0002172129989048699,64
taichi,cuda,0.00020243200015102047,64
taichi,cuda,0.00019647299995995127,64
taichi,cuda,0.00019221200091124047,64
taichi,cuda,0.0001973329999600537,64
taichi,cuda,0.0002023719989665551,64
taichi,cuda,0.00019498300025588833,64
taichi,cuda,0.00020050199964316562,64
taichi,cuda,0.0001907030000438681,64
warp,cuda,0.00020476200006669387,64
warp,cuda,0.0001752519983710954,64
warp,cuda,0.00017391199980920646,64
warp,cuda,0.00017143300101452041,64
warp,cuda,0.00017627200031711254,64
warp,cuda,0.0001791319991752971,64
warp,cuda,0.00017170199862448499,64
warp,cuda,0.00017066200052795466,64
warp,cuda,0.00017476200082455762,64
torch,cuda,0.01882100399961928,64
torch,cuda,0.018859854000766063,64
torch,cuda,0.018850275000659167,64
torch,cuda,0.018936055999802193,64
torch,cuda,0.018844313999579754,64
torch,cuda,0.018871194999519503,64
torch,cuda,0.018712712999331416,64
torch,cuda,0.018853674999263603,64
torch,cuda,0.01891340499969374,64
jax,cuda,0.00052443700042204,64
jax,cuda,0.00042229499922541436,64
jax,cuda,0.00042499600021983497,64
jax,cuda,0.00040930499926616903,64
jax,cuda,0.0004164550009591039,64
jax,cuda,0.00042619499981810804,64
jax,cuda,0.00040478499977325555,64
jax,cuda,0.0004166960006841691,64
jax,cuda,0.00040382500083069317,64
numba,cuda,0.00044682500083581544,256
numba,cuda,0.00038895500074431766,256
numba,cuda,0.0004730259988718899,256
numba,cuda,0.000396645000364515,256
numba,cuda,0.0003761349998967489,256
numba,cuda,0.00038740499985578936,256
numba,cuda,0.00037629399957950227,256
numba,cuda,0.0003738049999810755,256
numba,cuda,0.00038522499926330056,256
taichi,cuda,0.00020947199845977593,256
taichi,cuda,0.00020521300029940903,256
taichi,cuda,0.00020443199900910258,256
taichi,cuda,0.0001994319991354132,256
taichi,cuda,0.00019741300093301106,256
taichi,cuda,0.00019518199951562565,256
taichi,cuda,0.00022469299983640667,256
taichi,cuda,0.00021199299953877926,256
taichi,cuda,0.00021254199964459985,256
warp,cuda,0.00021519199981412385,256
warp,cuda,0.00019526299911376555,256
warp,cuda,0.0001945019994309405,256
warp,cuda,0.0001900530005514156,256
warp,cuda,0.00019025199981115293,256
warp,cuda,0.00017970299995795358,256
warp,cuda,0.0001797320001060143,256
warp,cuda,0.0001679720007814467,256
warp,cuda,0.0001910819992190227,256
torch,cuda,0.01885073499943246,256
torch,cuda,0.01878183300141245,256
torch,cuda,0.018765463999443455,256
torch,cuda,0.01853580999886617,256
torch,cuda,0.018614962000356172,256
torch,cuda,0.018540160001066397,256
torch,cuda,0.018478899999536225,256
torch,cuda,0.018475580000085756,256
torch,cuda,0.018574020999949425,256
jax,cuda,0.00043441500019980595,256
jax,cuda,0.000365474999853177,256
jax,cuda,0.0003432140001677908,256
jax,cuda,0.000336054001309094,256
jax,cuda,0.0003507350011204835,256
jax,cuda,0.000330814000335522,256
jax,cuda,0.00032935399940470234,256
jax,cuda,0.00034611400042194873,256
jax,cuda,0.0003301149990875274,256
numba,cuda,0.0005333159988367697,1024
numba,cuda,0.0005175060014153132,1024
numba,cuda,0.0005230360002315138,1024
numba,cuda,0.0006142970014479943,1024
numba,cuda,0.0005205770012253197,1024
numba,cuda,0.0005069060007372173,1024
numba,cuda,0.0005033460001868661,1024
numba,cuda,0.0005047270005889004,1024
numba,cuda,0.0005102560007799184,1024
taichi,cuda,0.00021380200087151024,1024
taichi,cuda,0.00019513199913490098,1024
taichi,cuda,0.00019379200057301205,1024
taichi,cuda,0.00018862300021282863,1024
taichi,cuda,0.00018639200061443262,1024
taichi,cuda,0.00019895300101779867,1024
taichi,cuda,0.0001930920006998349,1024
taichi,cuda,0.00018954299957840703,1024
taichi,cuda,0.00018630200065672398,1024
warp,cuda,0.00017981199925998226,1024
warp,cuda,0.00016212199989240617,1024
warp,cuda,0.0001633219999348512,1024
warp,cuda,0.00016110199976537842,1024
warp,cuda,0.0001603820001037093,1024
warp,cuda,0.00017818299966165796,1024
warp,cuda,0.0001633219999348512,1024
warp,cuda,0.00015888199959590565,1024
warp,cuda,0.0001603519995114766,1024
torch,cuda,0.017637468999964767,1024
torch,cuda,0.01780581200000597,1024
torch,cuda,0.01768117000028724,1024
torch,cuda,0.01794451299974753,1024
torch,cuda,0.019871546999638667,1024
torch,cuda,0.018874475001211977,1024
torch,cuda,0.01887169499968877,1024
torch,cuda,0.0185501000014483,1024
torch,cuda,0.018675201999940327,1024
jax,cuda,0.0004451650002010865,1024
jax,cuda,0.0003508749996399274,1024
jax,cuda,0.00033943400012503844,1024
jax,cuda,0.00035321399991516955,1024
jax,cuda,0.00034319499900448136,1024
jax,cuda,0.00034078399949066807,1024
jax,cuda,0.0004204849992675008,1024
jax,cuda,0.0004220360006002011,1024
jax,cuda,0.0005073459997220198,1024
numba,cuda,0.0006968779998715036,4096
numba,cuda,0.0007154380000429228,4096
numba,cuda,0.0007129989990062313,4096
numba,cuda,0.0006928989987500245,4096
numba,cuda,0.0007959300000948133,4096
numba,cuda,0.0006300879995251307,4096
numba,cuda,0.0006926589994691312,4096
numba,cuda,0.0006219070000952343,4096
numba,cuda,0.0006159280001156731,4096
taichi,cuda,0.00020489300004555844,4096
taichi,cuda,0.0001909220009110868,4096
taichi,cuda,0.00018782299957820214,4096
taichi,cuda,0.00019599200095399283,4096
taichi,cuda,0.00019553300080588087,4096
taichi,cuda,0.00018529199951444753,4096
taichi,cuda,0.00018816200099536218,4096
taichi,cuda,0.00018877299953601323,4096
taichi,cuda,0.00020000199947389774,4096
warp,cuda,0.00018835199989553075,4096
warp,cuda,0.0001631319992156932,4096
warp,cuda,0.00016049199984990992,4096
warp,cuda,0.00017154300076072104,4096
warp,cuda,0.00015918200006126426,4096
warp,cuda,0.00015794200044183526,4096
warp,cuda,0.00015905199870758224,4096
warp,cuda,0.00015739199989184272,4096
warp,cuda,0.00015782199989189394,4096
torch,cuda,0.017700189999231952,4096
torch,cuda,0.017555657999764662,4096
torch,cuda,0.017681639999864274,4096
torch,cuda,0.017592299000170897,4096
torch,cuda,0.01761839899882034,4096
torch,cuda,0.017551308001202415,4096
torch,cuda,0.017395415999999386,4096
torch,cuda,0.017418556999473367,4096
torch,cuda,0.017382156000167015,4096
jax,cuda,0.0005433959995571058,4096
jax,cuda,0.00041635600064182654,4096
